City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,georgiyevka,43.0369,74.7114,23.04,63,0,2.24,KZ,1669663624
1,mataura,-46.1927,168.8643,52.32,80,100,1.81,NZ,1669663501
2,ushuaia,-54.8,-68.3,67.66,30,75,12.66,AR,1669663502
3,atuona,-9.8,-139.0333,77.83,73,12,14.72,PF,1669663506
4,minsk,53.9,27.5667,28.15,98,100,5.28,BY,1669663294
5,north bend,43.4065,-124.2243,46.24,93,100,18.41,US,1669663538
6,rikitea,-23.1203,-134.9692,73.56,80,18,6.44,PF,1669663508
7,cairns,-16.9167,145.7667,78.75,89,100,1.14,AU,1669663624
8,bambous virieux,-20.3428,57.7575,75.45,83,75,3.44,MU,1669663505
9,chapais,49.7834,-74.8492,19.18,87,100,8.21,CA,1669663624
10,san carlos de bariloche,-41.1456,-71.3082,78.55,13,0,28.77,AR,1669663542
11,jamestown,42.097,-79.2353,37.02,77,100,9.22,US,1669663501
12,east london,-33.0153,27.9116,68.25,76,84,22.48,ZA,1669663497
13,raudeberg,61.9875,5.1352,47.07,67,100,7.0,NO,1669663625
14,punta arenas,-53.15,-70.9167,55.11,66,100,22.97,CL,1669663507
15,victoria,22.2855,114.1577,77.38,93,5,5.01,HK,1669663304
16,cape town,-33.9258,18.4232,73.9,65,0,6.91,ZA,1669663514
17,saint-augustin,51.226,-58.6502,31.57,88,100,8.1,CA,1669663512
18,hilo,19.7297,-155.09,79.25,91,100,6.91,US,1669663507
19,faanui,-16.4833,-151.75,78.46,73,0,10.89,PF,1669663535
20,avera,33.194,-82.5271,69.31,49,0,13.94,US,1669663517
21,miramar,25.9873,-80.2323,87.03,69,20,8.05,US,1669663443
22,mar del plata,-38.0023,-57.5575,84.83,87,0,20.0,AR,1669663522
23,wattegama,6.7989,81.4808,72.34,91,100,3.09,LK,1669663625
24,bengkulu,-3.8004,102.2655,76.48,88,100,3.53,ID,1669663503
25,barrow,71.2906,-156.7887,-18.38,76,0,11.5,US,1669663502
26,hithadhoo,-0.6,73.0833,80.82,75,47,6.11,MV,1669663523
27,souillac,-20.5167,57.5167,75.58,83,75,3.44,MU,1669663529
28,sakskobing,54.7997,11.626,41.09,82,100,18.45,DK,1669663435
29,matadi,-5.8167,13.45,78.33,87,99,2.75,CD,1669663626
30,kalmunai,7.4167,81.8167,77.43,79,100,6.04,LK,1669663626
31,bachaquero,9.9694,-71.1494,83.41,70,100,5.88,VE,1669663626
32,vardo,70.3705,31.1107,31.98,93,75,9.22,NO,1669663530
33,luderitz,-26.6481,15.1594,61.09,88,45,3.98,NA,1669663534
34,kavieng,-2.5744,150.7967,82.15,66,42,4.63,PG,1669663531
35,bethel,41.3712,-73.414,51.94,61,40,11.5,US,1669663542
36,cidreira,-30.1811,-50.2056,71.64,82,17,16.8,BR,1669663503
37,kaduna,10.5222,7.4383,74.1,24,86,6.91,NG,1669663627
38,badarwas,24.9667,77.5667,59.92,36,0,3.87,IN,1669663627
39,bluff,-46.6,168.3333,53.85,87,100,4.29,NZ,1669663511
40,beringovskiy,63.05,179.3167,28.85,96,100,28.32,RU,1669663551
41,bousso,10.4795,16.7117,78.22,22,52,6.11,TD,1669663627
42,busselton,-33.65,115.3333,58.73,69,0,12.46,AU,1669663510
43,mount isa,-20.7333,139.5,74.97,60,100,5.75,AU,1669663511
44,lixourion,38.2019,20.4314,53.8,68,9,5.88,GR,1669663628
45,mahebourg,-20.4081,57.7,75.49,83,75,3.44,MU,1669663506
46,saint-philippe,-21.3585,55.7679,74.79,75,100,5.32,RE,1669663519
47,juneau,58.3019,-134.4197,29.21,94,40,0.0,US,1669663628
48,verkhnevilyuysk,63.4453,120.3167,-31.36,99,33,3.98,RU,1669663628
49,fort nelson,58.8053,-122.7002,0.99,80,100,6.91,CA,1669663527
50,launceston,-41.45,147.1667,47.8,87,20,6.91,AU,1669663554
51,marsa matruh,31.3525,27.2453,62.8,59,0,5.75,EG,1669663628
52,hobart,-42.8794,147.3294,46.06,80,40,4.61,AU,1669663221
53,victor harbor,-35.5667,138.6167,57.99,69,100,9.24,AU,1669663542
54,palu,-0.8917,119.8707,75.07,94,99,2.42,ID,1669663629
55,chuy,-33.6971,-53.4616,75.54,62,2,14.36,UY,1669663505
56,maarianhamina,60.0973,19.9348,37.26,87,100,3.44,AX,1669663629
57,georgetown,5.4112,100.3354,80.24,89,20,4.61,MY,1669663500
58,grand gaube,-20.0064,57.6608,75.6,77,100,1.99,MU,1669663521
59,viedma,-40.8135,-62.9967,97.0,21,0,16.58,AR,1669663465
60,karasuk,53.7377,78.0403,-11.58,87,38,3.47,RU,1669663629
61,wanning,18.8003,110.3967,77.43,92,14,7.72,CN,1669663629
62,gizo,-8.103,156.8419,82.15,77,100,6.91,SB,1669663629
63,vaini,-21.2,-175.2,80.76,78,20,11.5,TO,1669663512
64,kerrobert,51.9168,-109.1348,10.45,91,100,23.06,CA,1669663629
65,nikolskoye,59.7035,30.7861,26.8,96,87,5.01,RU,1669663528
66,mafeteng,-29.823,27.2374,61.38,56,4,5.12,LS,1669663629
67,freeport,40.6576,-73.5832,55.65,58,40,18.41,US,1669663629
68,samarai,-10.6167,150.6667,81.55,80,100,1.34,PG,1669663630
69,tomigusuku,26.185,127.675,74.97,88,75,10.36,JP,1669663566
70,qaanaaq,77.484,-69.3632,-5.91,89,97,4.52,GL,1669663525
